y_lag,y,pi,Epi_lead,Rsq_Epi,version,path_number
-1.97,-1.9563175397271153,-1.538252793664422,-1.5132177012045296,0.9999869626171032,3,4
-1.96,-1.9471578416646111,-1.5335008273257746,-1.508687414627928,0.9999869626171032,3,4
-1.95,-1.9379981436021056,-1.5287488609871267,-1.5041571280513266,0.9999869626171032,3,4
-1.94,-1.928838445539601,-1.5239968946484788,-1.4996268414747251,0.9999869626171032,3,4
-1.93,-1.9196787474770969,-1.5192449283098304,-1.495096554898124,0.9999869626171032,3,4
-1.92,-1.9105190494145925,-1.5144929619711829,-1.4905662683215224,0.9999869626171032,3,4
-1.91,-1.901359351352088,-1.509740995632535,-1.4860359817449211,0.9999869626171032,3,4
-1.9,-1.892199653289583,-1.504989029293887,-1.4815056951683194,0.9999869626171032,3,4
-1.89,-1.8830399552270785,-1.5002370629552393,-1.4769754085917184,0.9999869626171032,3,4
-1.88,-1.8738802571645743,-1.4954850966165911,-1.4724451220151171,0.9999869626171032,3,4
-1.87,-1.8647205591020697,-1.4907331302779434,-1.4679148354385156,0.9999869626171032,3,4
-1.86,-1.855560861039565,-1.4859811639392952,-1.463384548861914,0.9999869626171032,3,4
-1.85,-1.846401162977061,-1.4812291976006475,-1.458854262285313,0.9999869626171032,3,4
