eps_pi,eps_y,pi,y,Epi_lead,y_lag,path_number
0,0,-2.692934919,-2.896544165,0,-3.03161228,3
0,0,-2.682218643,-2.770417776,0,-2.896544165,3
0,0,-2.677576583,-2.652379887,0,-2.770417776,3
0,0,-2.678902725,-2.541635618,0,-2.652379887,3
0,0,-2.68612731,-2.437443042,0,-2.541635618,3
0,0,-2.699215956,-2.339108153,0,-2.437443042,3
0,0,-2.718168998,-2.245980194,0,-2.339108153,3
0,0,-2.74302104,-2.157447287,0,-2.245980194,3
0,0,-2.773840712,-2.072932356,0,-2.157447287,3
0,0,-2.810730625,-1.991889302,0,-2.072932356,3
0,0,-2.853827537,-1.913799407,0,-1.991889302,3
0,0,-2.903302701,-1.838167949,0,-1.913799407,3
0,0,-2.959362425,-1.764520998,0,-1.838167949,3
0,0,-3.022248816,-1.692402376,0,-1.764520998,3
0,0,-3.092240734,-1.621370764,0,-1.692402376,3
0,0,-3.169654943,-1.550996924,0,-1.621370764,3
0,0,-3.25484747,-1.480861037,0,-1.550996924,3
0,0,-3.348215177,-1.41055013,0,-1.480861037,3
0,0,-3.450197548,-1.339655566,0,-1.41055013,3
0,0,-3.561278705,-1.267770606,0,-1.339655566,3
0,0,-3.681989658,-1.194488007,0,-1.267770606,3
0,0,-3.812910797,-1.119397645,0,-1.194488007,3
0,0,-3.954674647,-1.042084156,0,-1.119397645,3
0,0,-4.107968884,-0.962124581,0,-1.042084156,3
0,0,-4.273539637,-0.879085989,0,-0.962124581,3
0,0,-4.452195092,-0.792523075,0,-0.879085989,3
0,0,-4.644809408,-0.701975724,0,-0.792523075,3
0,0,-4.852326971,-0.606966508,0,-0.701975724,3
0,0,-5.075766995,-0.506998125,0,-0.606966508,3
0,0,-5.316228515,-0.40155075,0,-0.506998125,3
0,0,-5.574895765,-0.290079286,0,-0.40155075,3
0,0,-5.853044001,-0.172010512,0,-0.290079286,3
0,0,-6.152045764,-0.046740096,0,-0.172010512,3
0,0,-6.473377641,0.086370536,0,-0.046740096,3
